Datum	Wtag	Sonntag	Losungsvers	Losungstext	Lehrtextvers	Lehrtext
01.01.2020	Mittwoch	Neujahr	Psalm 66,10	Gott, du hast uns geprüft und geläutert, wie das Silber geläutert wird.	Römer 5,3-5	Wir wissen, dass Bedrängnis Geduld bringt, Geduld aber Bewährung, Bewährung aber Hoffnung, Hoffnung aber lässt nicht zuschanden werden; denn die Liebe Gottes ist ausgegossen in unsre Herzen durch den Heiligen Geist, der uns gegeben ist.
02.01.2020	Donnerstag		Jesaja 25,8	Gott der HERR wird die Tränen von allen Angesichtern abwischen.	Römer 12,12	Seid fröhlich in Hoffnung, geduldig in Trübsal, beharrlich im Gebet.
03.01.2020	Freitag		Psalm 37,4	Habe deine Lust am HERRN; der wird dir geben, was dein Herz wünscht.	Markus 11,24	Alles, was ihr betet und bittet, glaubt nur, dass ihr’s empfangt, so wird’s euch zuteilwerden.
04.01.2020	Samstag		2. Mose 20,13	Du sollst nicht töten.	Lukas 6,27-28	Liebt eure Feinde; tut wohl denen, die euch hassen; segnet, die euch verfluchen; bittet für die, die euch beleidigen.
05.01.2020	Sonntag	2. Sonntag nach Weihnachten	Psalm 4,7	Viele sagen: »Wer wird uns Gutes sehen lassen?« HERR, lass leuchten über uns das Licht deines Antlitzes!	Johannes 8,12	/Jesus spricht:/ Ich bin das Licht der Welt. Wer mir nachfolgt, der wird nicht wandeln in der Finsternis, sondern wird das Licht des Lebens haben.
06.01.2020	Montag	Fest der Erscheinung des Herrn – Epiphanias	Jesaja 40,27	Warum sprichst du denn, Jakob, und du, Israel, sagst: »Mein Weg ist dem HERRN verborgen, und mein Recht geht an meinem Gott vorüber?«	2. Timotheus 2,19	Der feste Grund Gottes besteht und hat dieses Siegel: Der Herr kennt die Seinen.
07.01.2020	Dienstag		Sacharja 2,9	Ich selbst will, spricht der HERR, eine feurige Mauer rings um Jerusalem her sein.	Römer 8,31	Ist Gott für uns, wer kann wider uns sein?
08.01.2020	Mittwoch		Psalm 33,22	Deine Güte, HERR, sei über uns, wie wir auf dich hoffen.	Hebräer 10,23	Lasst uns festhalten an dem Bekenntnis der Hoffnung und nicht wanken; denn er ist treu, der sie verheißen hat.
09.01.2020	Donnerstag		Psalm 18,33	Gott rüstet mich mit Kraft.	Philemon 1,4.6	/Paulus schreibt an Philemon:/ Ich danke meinem Gott allezeit, wenn ich deiner gedenke in meinen Gebeten, dass dein Glaube, den wir miteinander haben, kräftig werde in Erkenntnis all des Guten bei uns, auf Christus hin.
10.01.2020	Freitag		Sprüche 14,32	Ein Gerechter ist selbst im Tod geborgen.	Römer 8,38-39	Ich bin gewiss, dass weder Tod noch Leben, weder Engel noch Mächte noch Gewalten, weder Gegenwärtiges noch Zukünftiges, weder Hohes noch Tiefes noch irgendeine andere Kreatur uns scheiden kann von der Liebe Gottes, die in Christus Jesus ist, unserm Herrn.
11.01.2020	Samstag		Amos 5,24	Es ströme das Recht wie Wasser und die Gerechtigkeit wie ein nie versiegender Bach.	Markus 10,42-43	Ihr wisst, die als Herrscher gelten, halten ihre Völker nieder, und ihre Mächtigen tun ihnen Gewalt an. Aber so ist es unter euch nicht; sondern wer groß sein will unter euch, der soll euer Diener sein.
12.01.2020	Sonntag	1. Sonntag nach Epiphanias	Daniel 2,22	Gott offenbart, was tief und verborgen ist.	Römer 11,33	O welch eine Tiefe des Reichtums, beides, der Weisheit und der Erkenntnis Gottes! Wie unbegreiflich sind seine Gerichte und unerforschlich seine Wege!
13.01.2020	Montag		Jeremia 17,13	Alle, die dich verlassen, müssen zuschanden werden; denn sie verlassen den HERRN, die Quelle des lebendigen Wassers.	Markus 1,15	/Jesus spricht:/ Die Zeit ist erfüllt, und das Reich Gottes ist nahe herbeigekommen. Tut Buße und glaubt an das Evangelium!
14.01.2020	Dienstag		1. Mose 4,7	Ist’s nicht so: Wenn du fromm bist, so kannst du frei den Blick erheben. Bist du aber nicht fromm, so lauert die Sünde vor der Tür, und nach dir hat sie Verlangen; du aber herrsche über sie.	1. Timotheus 6,11	Jage aber nach der Gerechtigkeit, der Frömmigkeit, dem Glauben, der Liebe, der Geduld, der Sanftmut!
15.01.2020	Mittwoch		Richter 6,23-24	Der HERR sprach zu Gideon: Friede sei mit dir! Fürchte dich nicht, du wirst nicht sterben. Da baute Gideon dem HERRN dort einen Altar und nannte ihn: »Der HERR ist Friede«.	Hebräer 4,16	Lasst uns freimütig hinzutreten zu dem Thron der Gnade, auf dass wir Barmherzigkeit empfangen und Gnade finden und so Hilfe erfahren zur rechten Zeit.
16.01.2020	Donnerstag		Psalm 119,64	HERR, die Erde ist voll deiner Güte; lehre mich deine Gebote.	2. Timotheus 3,16	Alle Schrift, von Gott eingegeben, ist nütze zur Lehre, zur Zurechtweisung, zur Besserung, zur Erziehung in der Gerechtigkeit.
17.01.2020	Freitag		2. Mose 10,3	Mose und Aaron gingen hinein zum Pharao und sprachen zu ihm: So spricht der HERR: Lass mein Volk ziehen, dass es mir diene!	Matthäus 10,16	Siehe, ich sende euch wie Schafe mitten unter die Wölfe. Darum seid klug wie die Schlangen und ohne Falsch wie die Tauben.
18.01.2020	Samstag		5. Mose 3,24	Wo ist ein Gott im Himmel und auf Erden, der es deinen Werken und deiner Macht gleichtun könnte?	Römer 11,36	Von ihm und durch ihn und zu ihm sind alle Dinge. Ihm sei Ehre in Ewigkeit!
